product_id,pair_id,product_name,category,subcategory,brand,gender_target,price,size,normalized_price_per_unit,retailer,description,ingredients,
P00001_M,PAIR00001,Nivea Face Wash - Men - 50ml,Personal Care,Face Wash,Nivea,Men,292.01,50,584.02,RelianceDigital,Nivea presents a gentle Face Wash with enriched ingredients.,"Retinol, Glycerin, Aloe Vera, Fragrance, Dimethicone",
P00001_F,PAIR00001,Nivea Face Wash - Women - 50ml,Personal Care,Face Wash,Nivea,Women,345.69,50,691.38,RelianceDigital,Nivea presents a gentle Face Wash with enriched ingredients.,"Retinol, Glycerin, Aloe Vera, Fragrance, Dimethicone",
P00002_M,PAIR00002,Himalaya Soap - Men - 75ml,Personal Care,Soap,Himalaya,Men,238.37,75,317.83,RelianceDigital,Himalaya Soap for everyday use — nourishes and protects.,"Cocamidopropyl Betaine, Glycerin, Sodium Laureth Sulfate, Fragrance, Paraben, Tea Tree Oil",
P00002_F,PAIR00002,Himalaya Soap - Women - 75ml,Personal Care,Soap,Himalaya,Women,287.22,75,382.96,RelianceDigital,Himalaya Soap for everyday use — nourishes and protects.,"Cocamidopropyl Betaine, Glycerin, Sodium Laureth Sulfate, Fragrance, Paraben, Tea Tree Oil",
P00003_M,PAIR00003,Forest Essentials Face Wash - Men - 150ml,Personal Care,Face Wash,Forest Essentials,Men,289.32,150,192.88,Croma,Lightweight Face Wash from Forest Essentials — dermatologist tested.,"Shea Butter, Paraben, Retinol, Water, Tea Tree Oil, Panthenol",
P00003_F,PAIR00003,Forest Essentials Face Wash - Women - 150ml,Personal Care,Face Wash,Forest Essentials,Women,344,150,229.33,Croma,Lightweight Face Wash from Forest Essentials — dermatologist tested.,"Shea Butter, Paraben, Retinol, Water, Tea Tree Oil, Panthenol",
P00004_M,PAIR00004,HealthKart Supplements - Men - 100,Personal Care,Supplements,HealthKart,Men,132.69,100,132.69,PharmEasy,HealthKart Supplements for everyday use — nourishes and protects.,"Vitamin E, Aloe Vera, Retinol, Sodium Chloride, Tea Tree Oil, Panthenol",
P00004_F,PAIR00004,HealthKart Supplements - Women - 100,Personal Care,Supplements,HealthKart,Women,165.05,100,165.05,PharmEasy,HealthKart Supplements for everyday use — nourishes and protects.,"Vitamin E, Aloe Vera, Retinol, Sodium Chloride, Tea Tree Oil, Panthenol",
P00005_M,PAIR00005,Nike Hoodie - Men - L,Clothing,Hoodie,Nike,Men,1578.25,L,1578.25,Amazon.in,Nike presents a gentle Hoodie with enriched ingredients.,,
P00005_F,PAIR00005,Nike Hoodie - Women - L,Clothing,Hoodie,Nike,Women,1565.54,L,1565.54,Amazon.in,Nike presents a gentle Hoodie with enriched ingredients.,,
P00006_M,PAIR00006,Himalaya Shampoo - Men - 100ml,Personal Care,Shampoo,Himalaya,Men,800.62,100,800.62,Ajio,Lightweight Shampoo from Himalaya — dermatologist tested.,"Aloe Vera, Fragrance, Sodium Chloride, Panthenol, Tea Tree Oil, Chamomile Extract",
P00006_F,PAIR00006,Himalaya Shampoo - Women - 100ml,Personal Care,Shampoo,Himalaya,Women,974.61,100,974.61,Ajio,Lightweight Shampoo from Himalaya — dermatologist tested.,"Aloe Vera, Fragrance, Sodium Chloride, Panthenol, Tea Tree Oil, Chamomile Extract",
P00007_M,PAIR00007,Nivea Lotion - Men - 100ml,Personal Care,Lotion,Nivea,Men,349.71,100,349.71,Croma,Nivea Lotion for everyday use — nourishes and protects.,"Keratin, Water, Cocamidopropyl Betaine, Sodium Laureth Sulfate, Salicylic Acid, Chamomile Extract",
P00007_F,PAIR00007,Nivea Lotion - Women - 100ml,Personal Care,Lotion,Nivea,Women,383.74,100,383.74,Croma,Nivea Lotion for everyday use — nourishes and protects.,"Keratin, Water, Cocamidopropyl Betaine, Sodium Laureth Sulfate, Salicylic Acid, Chamomile Extract",
P00008_M,PAIR00008,Olay Face Wash - Men - 50ml,Personal Care,Face Wash,Olay,Men,366.16,50,732.32,PharmEasy,Olay presents a gentle Face Wash with enriched ingredients.,"Vitamin E, Chamomile Extract, Glycerin, Retinol, Keratin",
P00008_F,PAIR00008,Olay Face Wash - Women - 50ml,Personal Care,Face Wash,Olay,Women,410.83,50,821.66,PharmEasy,Olay presents a gentle Face Wash with enriched ingredients.,"Vitamin E, Chamomile Extract, Glycerin, Retinol, Keratin",
P00009_M,PAIR00009,Dove Lotion - Men - 200ml,Personal Care,Lotion,Dove,Men,896.67,200,448.33,Flipkart,Dove presents a gentle Lotion with enriched ingredients.,"Glycerin, Paraben, Tea Tree Oil",
P00009_F,PAIR00009,Dove Lotion - Women - 200ml,Personal Care,Lotion,Dove,Women,1057.13,200,528.57,Flipkart,Dove presents a gentle Lotion with enriched ingredients.,"Glycerin, Paraben, Tea Tree Oil",
P00010_M,PAIR00010,L'Oréal Moisturizer - Men - 100ml,Personal Care,Moisturizer,L'Oréal,Men,446.66,100,446.66,BigBasket,Lightweight Moisturizer from L'Oréal — dermatologist tested.,"Keratin, Glycerin, Fragrance, Panthenol, Water, Aloe Vera",
P00010_F,PAIR00010,L'Oréal Moisturizer - Women - 100ml,Personal Care,Moisturizer,L'Oréal,Women,558.98,100,558.98,BigBasket,Lightweight Moisturizer from L'Oréal — dermatologist tested.,"Keratin, Glycerin, Fragrance, Panthenol, Water, Aloe Vera",
P00011_M,PAIR00011,HealthKart Supplements - Men - 100,Personal Care,Supplements,HealthKart,Men,210.21,100,210.21,Amazon.in,HealthKart presents a gentle Supplements with enriched ingredients.,"Paraben, Cocamidopropyl Betaine, Sodium Chloride, Salicylic Acid, Coconut Oil",
P00011_F,PAIR00011,HealthKart Supplements - Women - 100,Personal Care,Supplements,HealthKart,Women,234.86,100,234.86,Amazon.in,HealthKart presents a gentle Supplements with enriched ingredients.,"Paraben, Cocamidopropyl Betaine, Sodium Chloride, Salicylic Acid, Coconut Oil",
P00012_M,PAIR00012,Olay Face Wash - Men - 150ml,Personal Care,Face Wash,Olay,Men,239.82,150,159.88,Myntra,Olay Face Wash for everyday use — nourishes and protects.,"Shea Butter, Paraben, Dimethicone",
P00012_F,PAIR00012,Olay Face Wash - Women - 150ml,Personal Care,Face Wash,Olay,Women,275.24,150,183.49,Myntra,Olay Face Wash for everyday use — nourishes and protects.,"Shea Butter, Paraben, Dimethicone",
P00013_M,PAIR00013,Ponds Moisturizer - Men - 150ml,Personal Care,Moisturizer,Ponds,Men,345.66,150,230.44,Myntra,Ponds presents a gentle Moisturizer with enriched ingredients.,"Chamomile Extract, Dimethicone, Tea Tree Oil, Water",
P00013_F,PAIR00013,Ponds Moisturizer - Women - 150ml,Personal Care,Moisturizer,Ponds,Women,389.36,150,259.57,Myntra,Ponds presents a gentle Moisturizer with enriched ingredients.,"Chamomile Extract, Dimethicone, Tea Tree Oil, Water",
P00014_M,PAIR00014,Levi's T-Shirt - Men - L,Clothing,T-Shirt,Levi's,Men,2369.82,L,2369.82,RelianceDigital,Levi's T-Shirt for everyday use — nourishes and protects.,,
