product_id,pair_id,product_name,category,subcategory,brand,gender_target,price,size,normalized_price_per_unit,retailer,description,ingredients,pink_tax_percent
PR0001-M,PAIR0001,Dove Lotion - Men,Personal Care,Lotion,Dove,Men,1199.72,250,4.8,Myntra,Hydrating body lotion with long-lasting softness.,"Shea Butter, Glycerin, Vitamin E, Fragrance",0
PR0001-W,PAIR0001,Dove Lotion - Women,Personal Care,Lotion,Dove,Women,1357.38,250,5.43,Myntra,Hydrating body lotion with long-lasting softness.,"Shea Butter, Glycerin, Vitamin E, Fragrance",13.14
PR0002-M,PAIR0002,Dove T-Shirt - Men,Apparel,T-Shirt,Dove,Men,259.87,L,259.87,Nykaa,Soft cotton T-shirt designed for everyday comfort.,100% Cotton,0
PR0002-W,PAIR0002,Dove T-Shirt - Women,Apparel,T-Shirt,Dove,Women,294.44,L,294.44,Nykaa,Soft cotton T-shirt designed for everyday comfort.,100% Cotton,13.3
PR0003-M,PAIR0003,Puma Deodorant - Men,Personal Care,Deodorant,Puma,Men,701.32,500,1.4,Nykaa,48-hour protection with a subtle fragrance.,"Aluminum Chlorohydrate, Fragrance, Aqua, Propylene Glycol",0
PR0003-W,PAIR0003,Puma Deodorant - Women,Personal Care,Deodorant,Puma,Women,832.71,500,1.67,Nykaa,48-hour protection with a subtle fragrance.,"Aluminum Chlorohydrate, Fragrance, Aqua, Propylene Glycol",18.73
PR0004-M,PAIR0004,Nivea Shoes - Men,Apparel,Shoes,Nivea,Men,946.51,XL,946.51,Amazon,"Comfortable, stylish shoes perfect for everyday wear.","Rubber Sole, Synthetic Upper",0
PR0004-W,PAIR0004,Nivea Shoes - Women,Apparel,Shoes,Nivea,Women,1124.13,XL,1124.13,Amazon,"Comfortable, stylish shoes perfect for everyday wear.","Rubber Sole, Synthetic Upper",18.77
PR0005-M,PAIR0005,Bata Perfume - Men,Personal Care,Perfume,Bata,Men,1790.4,250,7.16,Amazon,Long-lasting fragrance with floral and woody notes.,"Alcohol, Water, Fragrance, Limonene",0
PR0005-W,PAIR0005,Bata Perfume - Women,Personal Care,Perfume,Bata,Women,2163.72,250,8.65,Amazon,Long-lasting fragrance with floral and woody notes.,"Alcohol, Water, Fragrance, Limonene",20.85
PR0006-M,PAIR0006,Nivea Shampoo - Men,Personal Care,Shampoo,Nivea,Men,1058.2,750,1.41,Myntra,"Cleanses scalp and strengthens hair roots for smooth, shiny hair.","Keratin, Biotin, Aqua, Citric Acid",0
PR0006-W,PAIR0006,Nivea Shampoo - Women,Personal Care,Shampoo,Nivea,Women,1224.43,750,1.63,Myntra,"Cleanses scalp and strengthens hair roots for smooth, shiny hair.","Keratin, Biotin, Aqua, Citric Acid",15.71
PR0007-M,PAIR0007,Nike Aftershave - Men,Grooming,Aftershave,Nike,Men,899.79,150,6,RelianceDigital,Cooling aftershave lotion with soothing aloe vera.,"Aloe Vera, Ethanol, Menthol, Fragrance",0
PR0007-W,PAIR0007,Nike Aftershave - Women,Grooming,Aftershave,Nike,Women,1065.12,150,7.1,RelianceDigital,Cooling aftershave lotion with soothing aloe vera.,"Aloe Vera, Ethanol, Menthol, Fragrance",18.37
PR0008-M,PAIR0008,Himalaya Shaving Cream - Men,Grooming,Shaving Cream,Himalaya,Men,1836.84,200,9.18,Myntra,"Rich, foamy texture for a smooth, irritation-free shave.","Stearic Acid, Glycerin, Aqua, Perfume",0
PR0008-W,PAIR0008,Himalaya Shaving Cream - Women,Grooming,Shaving Cream,Himalaya,Women,2064.93,200,10.32,Myntra,"Rich, foamy texture for a smooth, irritation-free shave.","Stearic Acid, Glycerin, Aqua, Perfume",12.42
PR0009-M,PAIR0009,Lakme Deodorant - Men,Personal Care,Deodorant,Lakme,Men,677.71,1000,0.68,Myntra,48-hour protection with a subtle fragrance.,"Aluminum Chlorohydrate, Fragrance, Aqua, Propylene Glycol",0
PR0009-W,PAIR0009,Lakme Deodorant - Women,Personal Care,Deodorant,Lakme,Women,834.41,1000,0.83,Myntra,48-hour protection with a subtle fragrance.,"Aluminum Chlorohydrate, Fragrance, Aqua, Propylene Glycol",23.12
PR0010-M,PAIR0010,Puma Face Wash - Men,Personal Care,Face Wash,Puma,Men,1580.3,150,10.54,RelianceDigital,Gentle face wash enriched with aloe vera and vitamin E for daily freshness.,"Aloe Vera, Glycerin, Aqua, Fragrance",0
PR0010-W,PAIR0010,Puma Face Wash - Women,Personal Care,Face Wash,Puma,Women,1843.24,150,12.29,RelianceDigital,Gentle face wash enriched with aloe vera and vitamin E for daily freshness.,"Aloe Vera, Glycerin, Aqua, Fragrance",16.64
PR0011-M,PAIR0011,Biotique Jeans - Men,Apparel,Jeans,Biotique,Men,534.11,S,534.11,Myntra,Slim-fit jeans crafted from durable stretch denim.,"98% Cotton, 2% Elastane",0
PR0011-W,PAIR0011,Biotique Jeans - Women,Apparel,Jeans,Biotique,Women,666.37,S,666.37,Myntra,Slim-fit jeans crafted from durable stretch denim.,"98% Cotton, 2% Elastane",24.76
PR0012-M,PAIR0012,Patanjali Shoes - Men,Apparel,Shoes,Patanjali,Men,1211.85,S,1211.85,RelianceDigital,"Comfortable, stylish shoes perfect for everyday wear.","Rubber Sole, Synthetic Upper",0
PR0012-W,PAIR0012,Patanjali Shoes - Women,Apparel,Shoes,Patanjali,Women,1493.13,S,1493.13,RelianceDigital,"Comfortable, stylish shoes perfect for everyday wear.","Rubber Sole, Synthetic Upper",23.21
PR0013-M,PAIR0013,Nivea Deodorant - Men,Personal Care,Deodorant,Nivea,Men,1011.77,150,6.75,Amazon,48-hour protection with a subtle fragrance.,"Aluminum Chlorohydrate, Fragrance, Aqua, Propylene Glycol",0
PR0013-W,PAIR0013,Nivea Deodorant - Women,Personal Care,Deodorant,Nivea,Women,1160.57,150,7.74,Amazon,48-hour protection with a subtle fragrance.,"Aluminum Chlorohydrate, Fragrance, Aqua, Propylene Glycol",14.71
PR0014-M,PAIR0014,Himalaya Hoodie - Men,Apparel,Hoodie,Himalaya,Men,993.34,M,993.34,Myntra,Cozy hoodie with modern fit and premium fabric.,"Cotton, Polyester Blend",0
PR0014-W,PAIR0014,Himalaya Hoodie - Women,Apparel,Hoodie,Himalaya,Women,1152.65,M,1152.65,Myntra,Cozy hoodie with modern fit and premium fabric.,"Cotton, Polyester Blend",16.04
PR0015-M,PAIR0015,Garnier Deodorant - Men,Personal Care,Deodorant,Garnier,Men,212.05,100,2.12,RelianceDigital,48-hour protection with a subtle fragrance.,"Aluminum Chlorohydrate, Fragrance, Aqua, Propylene Glycol",0
PR0015-W,PAIR0015,Garnier Deodorant - Women,Personal Care,Deodorant,Garnier,Women,236.62,100,2.37,RelianceDigital,48-hour protection with a subtle fragrance.,"Aluminum Chlorohydrate, Fragrance, Aqua, Propylene Glycol",11.59
PR0016-M,PAIR0016,Garnier Shampoo - Men,Personal Care,Shampoo,Garnier,Men,1692.06,200,8.46,Nykaa,"Cleanses scalp and strengthens hair roots for smooth, shiny hair.","Keratin, Biotin, Aqua, Citric Acid",0
PR0016-W,PAIR0016,Garnier Shampoo - Women,Personal Care,Shampoo,Garnier,Women,1986.01,200,9.93,Nykaa,"Cleanses scalp and strengthens hair roots for smooth, shiny hair.","Keratin, Biotin, Aqua, Citric Acid",17.37
PR0017-M,PAIR0017,Levi’s Shaving Cream - Men,Grooming,Shaving Cream,Levi’s,Men,1629.65,250,6.52,Flipkart,"Rich, foamy texture for a smooth, irritation-free shave.","Stearic Acid, Glycerin, Aqua, Perfume",0
PR0017-W,PAIR0017,Levi’s Shaving Cream - Women,Grooming,Shaving Cream,Levi’s,Women,1858.86,250,7.44,Flipkart,"Rich, foamy texture for a smooth, irritation-free shave.","Stearic Acid, Glycerin, Aqua, Perfume",14.07
PR0018-M,PAIR0018,Lakme Shoes - Men,Apparel,Shoes,Lakme,Men,1123.43,M,1123.43,Myntra,"Comfortable, stylish shoes perfect for everyday wear.","Rubber Sole, Synthetic Upper",0
PR0018-W,PAIR0018,Lakme Shoes - Women,Apparel,Shoes,Lakme,Women,1266.85,M,1266.85,Myntra,"Comfortable, stylish shoes perfect for everyday wear.","Rubber Sole, Synthetic Upper",12.77
PR0019-M,PAIR0019,L’Oréal Conditioner - Men,Personal Care,Conditioner,L’Oréal,Men,935.09,50,18.7,Flipkart,Deep-conditioning formula for silky and manageable hair.,"Coconut Oil, Argan Oil, Aqua, Dimethicone",0
PR0019-W,PAIR0019,L’Oréal Conditioner - Women,Personal Care,Conditioner,L’Oréal,Women,1132.15,50,22.64,Flipkart,Deep-conditioning formula for silky and manageable hair.,"Coconut Oil, Argan Oil, Aqua, Dimethicone",21.07
PR0020-M,PAIR0020,L’Oréal Body Wash - Men,Personal Care,Body Wash,L’Oréal,Men,1831.95,500,3.66,Flipkart,Refreshing body wash that nourishes and hydrates your skin.,"Shea Butter, Vitamin E, Aqua, Perfume",0
PR0020-W,PAIR0020,L’Oréal Body Wash - Women,Personal Care,Body Wash,L’Oréal,Women,2221.71,500,4.44,Flipkart,Refreshing body wash that nourishes and hydrates your skin.,"Shea Butter, Vitamin E, Aqua, Perfume",21.28
PR0021-M,PAIR0021,Gillette Perfume - Men,Personal Care,Perfume,Gillette,Men,288.16,500,0.58,Flipkart,Long-lasting fragrance with floral and woody notes.,"Alcohol, Water, Fragrance, Limonene",0
PR0021-W,PAIR0021,Gillette Perfume - Women,Personal Care,Perfume,Gillette,Women,335.6,500,0.67,Flipkart,Long-lasting fragrance with floral and woody notes.,"Alcohol, Water, Fragrance, Limonene",16.46
PR0022-M,PAIR0022,Bata Deodorant - Men,Personal Care,Deodorant,Bata,Men,1415,1000,1.42,Amazon,48-hour protection with a subtle fragrance.,"Aluminum Chlorohydrate, Fragrance, Aqua, Propylene Glycol",0
PR0022-W,PAIR0022,Bata Deodorant - Women,Personal Care,Deodorant,Bata,Women,1617.45,1000,1.62,Amazon,48-hour protection with a subtle fragrance.,"Aluminum Chlorohydrate, Fragrance, Aqua, Propylene Glycol",14.31
PR0023-M,PAIR0023,Lakme Shaving Cream - Men,Grooming,Shaving Cream,Lakme,Men,1978.73,1000,1.98,Nykaa,"Rich, foamy texture for a smooth, irritation-free shave.","Stearic Acid, Glycerin, Aqua, Perfume",0
